================================================================================
크몽 55상품 가격 vs 1페이지 실 경쟁자 시장가 비교 보고서
생성: 2026-04-15T02:51:09.399Z | 작성: Claude Code
================================================================================

## 0. 자료 출처
- 우리 가격: /home/onda/projects/onda-hompage/kmong-crawler/new-gigs/gig-data-55.js
- 시장 실측: scrape-competitor-prices.js 스크립트로 카테고리 1페이지 상위 상품 직접 수집
- 시장가 정의: 각 카드의 "시작가" (예: "1,320,000원~" → 1,320,000 = STD 가격)
- 따라서 우리 STD ↔ 시장 시작가 직접 비교 가능

## 1. 카테고리별 시장 통계 (1페이지 실측, 각 36~40개 상품)

| 카테고리 | 우리상품수 | 시장N | 평균 | 중앙 | 최저 | 최고 | P25 | P75 |
|---|---|---|---|---|---|---|---|---|
| 홈페이지 신규 제작 | 8 | 39 | 56만 | 30만 | 5000 | 360만 | 20만 | 66만 |
| 업무 자동화 | 22 | 36 | 13만 | 7만 | 5000 | 69만 | 5만 | 22만 |
| 맞춤형 챗봇·GPT | 10 | 36 | 34만 | 12만 | 1만 | 200만 | 10만 | 50만 |
| 상세페이지·이미지편집 | 11 | 36 | 10만 | 3만 | 5000 | 66만 | 1만 | 15만 |
| 로고 디자인 | 2 | 36 | 6만 | 5만 | 1만 | 30만 | 3만 | 7만 |
| 명함 | 1 | 36 | 2만 | 2만 | 5000 | 10만 | 2만 | 3만 |
| 메뉴판 | 1 | 36 | 3만 | 3만 | 1만 | 8만 | 2만 | 4만 |

참조 카테고리 (우리 미진입):
  - [617] IT 봇·챗봇 (참조): 평균 6만 / 중앙 2만 / 범위 5000~50만
  - [645] IT 크롤링·스크래핑: 평균 16만 / 중앙 5만 / 범위 5000~330만

## 2. 우리 가격 책정 근거 (1/6~6/6 보고서 통합)

### 가격 책정 원칙 (시장조사+메모리 기반)
1. STD = 시장 평균의 70~80% (진입 미끼)
2. DLX = 시장 평균 1.0배 (메인 매출)
3. PRM = 평균 2~3배 (B2B/풀스택, 단가 폭발)
4. 표준 비율 1:2.3:4~5 (자동화/챗봇 권장 비율)
5. "홈페이지 없는 사업자" 실측 PMF 니치 → 저가 진입 강화

### 책정 근거 (카테고리별)
- IT 자동화 (663): 메모리 macro 자료 — 평균 20만, 5천~330만, 권장 비율 1:2.3:4~5
- IT 챗봇 (667): 메모리 aibot 자료 — 5.5만~165만, 저가 5.9/9.9/14.9 → 중가 29/49/79 → 프리미엄 99/149/199
- IT 홈페이지 (601): 시장조사 자료 없음, 일반 통념 사용 (당시)
- 디자인 113/101/107/134: 시장조사 자료 없음, 일반 통념 사용 (당시)

## 3. 카테고리별 우리 가격 vs 실측 시장가 (핵심 비교)

### [601] 홈페이지 신규 제작 (우리 8건)
  시장 시작가 평균: 56만 | 중앙: 30만 | P25~P75: 20만~66만
  우리 STD 평균: 24만  (vs 시장평균 -57% | vs 중앙 -19%)
  우리 DLX 평균: 45만
  우리 PRM 평균: 69만  (시장 최고 360만)

### [663] 업무 자동화 (우리 22건)
  시장 시작가 평균: 13만 | 중앙: 7만 | P25~P75: 5만~22만
  우리 STD 평균: 20만  (vs 시장평균 +51% | vs 중앙 +189%)
  우리 DLX 평균: 34만
  우리 PRM 평균: 48만  (시장 최고 69만)

### [667] 맞춤형 챗봇·GPT (우리 10건)
  시장 시작가 평균: 34만 | 중앙: 12만 | P25~P75: 10만~50만
  우리 STD 평균: 23만  (vs 시장평균 -32% | vs 중앙 +94%)
  우리 DLX 평균: 43만
  우리 PRM 평균: 64만  (시장 최고 200만)

### [113] 상세페이지·이미지편집 (우리 11건)
  시장 시작가 평균: 10만 | 중앙: 3만 | P25~P75: 1만~15만
  우리 STD 평균: 7만  (vs 시장평균 -22% | vs 중앙 +126%)
  우리 DLX 평균: 15만
  우리 PRM 평균: 24만  (시장 최고 66만)

### [101] 로고 디자인 (우리 2건)
  시장 시작가 평균: 6만 | 중앙: 5만 | P25~P75: 3만~7만
  우리 STD 평균: 20만  (vs 시장평균 +232% | vs 중앙 +300%)
  우리 DLX 평균: 35만
  우리 PRM 평균: 55만  (시장 최고 30만)

### [107] 명함 (우리 1건)
  시장 시작가 평균: 2만 | 중앙: 2만 | P25~P75: 2만~3만
  우리 STD 평균: 5만  (vs 시장평균 +105% | vs 중앙 +150%)
  우리 DLX 평균: 12만
  우리 PRM 평균: 20만  (시장 최고 10만)

### [134] 메뉴판 (우리 1건)
  시장 시작가 평균: 3만 | 중앙: 3만 | P25~P75: 2만~4만
  우리 STD 평균: 8만  (vs 시장평균 +159% | vs 중앙 +167%)
  우리 DLX 평균: 15만
  우리 PRM 평균: 25만  (시장 최고 8만)


## 4. 상품별 매핑 (55건 전수)

| ID | 제목(20자) | STD/DLX/PRM | 시장평균 | 시장중앙 | STD vs 평균 | STD vs 중앙 | 포지션 |
|----|-----------|-------------|----------|----------|-------------|-------------|--------|
| 01 | 소상공인 반응형 홈페이지 7일완성 | 30만/55만/80만 | 56만 | 30만 |    -47% |      0% | 중하 |
| 02 | 전환율 2배 랜딩페이지 5일완성  | 20만/35만/50만 | 56만 | 30만 |    -65% |    -33% | 저가존 |
| 03 | 관리쉬운 워드프레스 홈페이지 제작 | 30만/60만/100만 | 56만 | 30만 |    -47% |      0% | 중하 |
| 04 | PC홈페이지 모바일반응형 3일완성 | 15만/28만/40만 | 56만 | 30만 |    -73% |    -50% | 저가존 |
| 05 | 홈페이지속도 2배개선 구글90점  | 10만/20만/30만 | 56만 | 30만 |    -82% |    -67% | 저가존 |
| 06 | 예약폼 카톡자동알림 5일완성    | 15만/27만/40만 | 13만 | 7만 |    +12% |   +114% | 중상 |
| 07 | 카카오웹 자동응답 챗봇 7일    | 20만/35만/50만 | 34만 | 12만 |    -42% |    +67% | 중상 |
| 08 | 고객상담 AI챗봇 구축       | 50만/95만/150만 | 34만 | 12만 |    +46% |   +317% | 프리미엄존 |
| 09 | 텔레그램슬랙 업무알림봇 제작    | 15만/28만/40만 | 13만 | 7만 |    +12% |   +114% | 중상 |
| 10 | 가격비교 데이터수집 크롤러 제작  | 20만/40만/60만 | 13만 | 7만 |    +50% |   +186% | 중상 |
| 11 | 결제배송CRM API연동 개발   | 30만/55만/80만 | 13만 | 7만 |   +124% |   +329% | 프리미엄존 |
| 12 | 분양홈페이지 VR평면도 14일   | 50만/90만/150만 | 56만 | 30만 |    -11% |    +67% | 중상 |
| 13 | 프리랜서 포트폴리오 사이트 5일  | 20만/35만/50만 | 56만 | 30만 |    -65% |    -33% | 저가존 |
| 14 | 리드수집 폼CRM 파이프라인 구축 | 30만/50만/70만 | 13만 | 7만 |   +124% |   +329% | 프리미엄존 |
| 15 | 교회동아리 홈페이지 회원관리    | 20만/35만/50만 | 56만 | 30만 |    -65% |    -33% | 저가존 |
| 16 | 영업팀 포털 플레이스 업종DB 수 | 10만/20만/30만 | 13만 | 7만 |    -25% |    +43% | 중상 |
| 17 | 블로그카페 키워드게시글 수집    | 10만/17만/25만 | 13만 | 7만 |    -25% |    +43% | 중상 |
| 18 | 부동산 지역별 매물 리스트 수집  | 15만/25만/35만 | 13만 | 7만 |    +12% |   +114% | 중상 |
| 19 | 구인구직 사람인 잡코리아 수집   | 10만/17만/25만 | 13만 | 7만 |    -25% |    +43% | 중상 |
| 20 | B2B영업 타겟리스트 맞춤제작   | 20만/35만/50만 | 13만 | 7만 |    +50% |   +186% | 중상 |
| 21 | 이커머스 포털쇼핑 키워드 경쟁강도 | 10만/17만/25만 | 13만 | 7만 |    -25% |    +43% | 중상 |
| 22 | 배민쿠팡이츠 매장메뉴 수집     | 15만/25만/35만 | 13만 | 7만 |    +12% |   +114% | 중상 |
| 23 | 유튜브채널 영상성과 데이터     | 10만/20만/30만 | 13만 | 7만 |    -25% |    +43% | 중상 |
| 24 | 리뷰100개미만 영업타겟 DB   | 15만/22만/30만 | 13만 | 7만 |    +12% |   +114% | 중상 |
| 25 | 경쟁사 가격모니터링 자동화     | 20만/30만/40만 | 13만 | 7만 |    +50% |   +186% | 중상 |
| 26 | AI자동 블로그글 SEO 발행   | 30만/50만/70만 | 34만 | 12만 |    -12% |   +150% | 중상 |
| 27 | AI 광고카피 상세페이지 2일   | 5만/12만/20만 | 34만 | 12만 |    -85% |    -58% | 저가존 |
| 28 | AI리뷰분석 감성분류 자동화    | 30만/45만/60만 | 13만 | 7만 |   +124% |   +329% | 프리미엄존 |
| 29 | AI 상세페이지 이미지 합성    | 3만/7만/10만 | 10만 | 3만 |    -68% |     -9% | 중하 |
| 30 | 직장인 챗GPT 직무 프롬프트 설 | 10만/20만/30만 | 34만 | 12만 |    -71% |    -17% | 중하 |
| 31 | AI 프롬프트 업무자동화 설계   | 15만/28만/40만 | 34만 | 12만 |    -56% |    +25% | 중상 |
| 32 | AI SNS콘텐츠 자동생성 시스템 | 40만/60만/80만 | 13만 | 7만 |   +199% |   +471% | 프리미엄존 |
| 33 | AI 이메일 자동응답 CS 시스템 | 40만/60만/80만 | 13만 | 7만 |   +199% |   +471% | 프리미엄존 |
| 34 | AI 광고소재 A/B 대량생산   | 20만/35만/50만 | 13만 | 7만 |    +50% |   +186% | 중상 |
| 35 | AI 다국어 더빙 자막 영상    | 10만/20만/30만 | 13만 | 7만 |    -25% |    +43% | 중상 |
| 36 | AI 사업계획서 초안 전문가검수  | 20만/35만/50만 | 34만 | 12만 |    -42% |    +67% | 중상 |
| 37 | AI 시장조사 리포트 분석     | 30만/50만/70만 | 34만 | 12만 |    -12% |   +150% | 중상 |
